LAT,LON,YEAR,DOY,RH2M
32.5,-119.375,2023,182,97.27
32.5,-118.75,2023,182,96.01
32.5,-118.125,2023,182,96.33
32.5,-117.5,2023,182,93.36
32.5,-116.875,2023,182,53.6
32.5,-116.25,2023,182,19.15
32.5,-115.625,2023,182,11.78
32.5,-115.0,2023,182,14.65
32.5,-114.375,2023,182,17.63
33.0,-119.375,2023,182,94.82
33.0,-118.75,2023,182,96.11
33.0,-118.125,2023,182,92.68
33.0,-117.5,2023,182,80.75
33.0,-116.875,2023,182,48.56
33.0,-116.25,2023,182,21.36
33.0,-115.625,2023,182,18.82
33.0,-115.0,2023,182,17.21
33.0,-114.375,2023,182,14.36
33.5,-119.375,2023,182,96.67
33.5,-118.75,2023,182,96.26
33.5,-118.125,2023,182,84.59
33.5,-117.5,2023,182,63.07
33.5,-116.875,2023,182,35.98
33.5,-116.25,2023,182,19.19
33.5,-115.625,2023,182,16.85
33.5,-115.0,2023,182,14.26
33.5,-114.375,2023,182,13.06
34.0,-119.375,2023,182,86.2
34.0,-118.75,2023,182,72.65
34.0,-118.125,2023,182,51.88
34.0,-117.5,2023,182,37.43
34.0,-116.875,2023,182,22.55
34.0,-116.25,2023,182,13.2
34.0,-115.625,2023,182,11.32
34.0,-115.0,2023,182,11.04
34.0,-114.375,2023,182,11.66
34.5,-119.375,2023,182,37.65
34.5,-118.75,2023,182,39.08
34.5,-118.125,2023,182,32.04
34.5,-117.5,2023,182,23.78
34.5,-116.875,2023,182,15.94
34.5,-116.25,2023,182,10.2
34.5,-115.625,2023,182,9.58
34.5,-115.0,2023,182,11.38
34.5,-114.375,2023,182,12.36
35.0,-119.375,2023,182,30.74
35.0,-118.75,2023,182,23.54
35.0,-118.125,2023,182,24.3
35.0,-117.5,2023,182,18.13
35.0,-116.875,2023,182,13.81
35.0,-116.25,2023,182,10.4
35.0,-115.625,2023,182,12.69
35.0,-115.0,2023,182,13.1
35.0,-114.375,2023,182,13.29
35.5,-119.375,2023,182,29.92
35.5,-118.75,2023,182,31.41
35.5,-118.125,2023,182,22.89
35.5,-117.5,2023,182,13.78
35.5,-116.875,2023,182,11.72
35.5,-116.25,2023,182,10.54
35.5,-115.625,2023,182,13.25
35.5,-115.0,2023,182,14.19
35.5,-114.375,2023,182,13.81
36.0,-119.375,2023,182,28.25
36.0,-118.75,2023,182,31.86
36.0,-118.125,2023,182,30.78
36.0,-117.5,2023,182,15.06
36.0,-116.875,2023,182,10.65
36.0,-116.25,2023,182,11.4
36.0,-115.625,2023,182,13.43
36.0,-115.0,2023,182,13.49
36.0,-114.375,2023,182,15.51
36.5,-119.375,2023,182,23.87
36.5,-118.75,2023,182,36.0
36.5,-118.125,2023,182,35.04
36.5,-117.5,2023,182,17.44
36.5,-116.875,2023,182,11.41
36.5,-116.25,2023,182,12.93
36.5,-115.625,2023,182,15.97
36.5,-115.0,2023,182,16.09
36.5,-114.375,2023,182,15.29
37.0,-119.375,2023,182,29.36
37.0,-118.75,2023,182,41.73
37.0,-118.125,2023,182,30.62
37.0,-117.5,2023,182,19.26
37.0,-116.875,2023,182,13.49
37.0,-116.25,2023,182,15.23
37.0,-115.625,2023,182,16.84
37.0,-115.0,2023,182,17.06
37.0,-114.375,2023,182,17.52
37.5,-119.375,2023,182,46.44
37.5,-118.75,2023,182,38.64
37.5,-118.125,2023,182,28.21
37.5,-117.5,2023,182,21.21
37.5,-116.875,2023,182,15.91
37.5,-116.25,2023,182,17.84
37.5,-115.625,2023,182,19.98
37.5,-115.0,2023,182,20.66
37.5,-114.375,2023,182,26.5
38.0,-119.375,2023,182,42.86
38.0,-118.75,2023,182,33.72
38.0,-118.125,2023,182,28.18
38.0,-117.5,2023,182,22.85
38.0,-116.875,2023,182,18.97
38.0,-116.25,2023,182,20.24
38.0,-115.625,2023,182,24.5
38.0,-115.0,2023,182,24.56
38.0,-114.375,2023,182,29.27
38.5,-119.375,2023,182,29.64
38.5,-118.75,2023,182,26.88
38.5,-118.125,2023,182,27.24
38.5,-117.5,2023,182,25.91
38.5,-116.875,2023,182,23.86
38.5,-116.25,2023,182,24.62
38.5,-115.625,2023,182,27.84
38.5,-115.0,2023,182,29.79
38.5,-114.375,2023,182,32.21
39.0,-119.375,2023,182,26.17
39.0,-118.75,2023,182,26.34
39.0,-118.125,2023,182,25.99
39.0,-117.5,2023,182,29.32
39.0,-116.875,2023,182,30.85
39.0,-116.25,2023,182,31.7
39.0,-115.625,2023,182,32.42
39.0,-115.0,2023,182,33.25
39.0,-114.375,2023,182,33.42
39.5,-119.375,2023,182,27.91
39.5,-118.75,2023,182,25.14
39.5,-118.125,2023,182,25.37
39.5,-117.5,2023,182,29.72
39.5,-116.875,2023,182,31.03
39.5,-116.25,2023,182,31.15
39.5,-115.625,2023,182,32.51
39.5,-115.0,2023,182,32.9
39.5,-114.375,2023,182,32.39
40.0,-119.375,2023,182,28.39
40.0,-118.75,2023,182,24.26
40.0,-118.125,2023,182,24.54
40.0,-117.5,2023,182,27.79
40.0,-116.875,2023,182,30.09
40.0,-116.25,2023,182,30.88
40.0,-115.625,2023,182,32.16
40.0,-115.0,2023,182,33.4
40.0,-114.375,2023,182,30.8
40.5,-119.375,2023,182,27.32
40.5,-118.75,2023,182,24.75
40.5,-118.125,2023,182,25.32
40.5,-117.5,2023,182,26.23
40.5,-116.875,2023,182,27.75
40.5,-116.25,2023,182,32.47
40.5,-115.625,2023,182,35.04
40.5,-115.0,2023,182,34.89
40.5,-114.375,2023,182,32.35
41.0,-119.375,2023,182,31.27
41.0,-118.75,2023,182,27.2
41.0,-118.125,2023,182,25.44
41.0,-117.5,2023,182,26.47
41.0,-116.875,2023,182,31.31
41.0,-116.25,2023,182,39.95
41.0,-115.625,2023,182,39.27
41.0,-115.0,2023,182,38.46
41.0,-114.375,2023,182,33.38
41.5,-119.375,2023,182,38.45
41.5,-118.75,2023,182,33.05
41.5,-118.125,2023,182,27.34
41.5,-117.5,2023,182,29.24
41.5,-116.875,2023,182,34.92
41.5,-116.25,2023,182,41.48
41.5,-115.625,2023,182,42.64
41.5,-115.0,2023,182,39.93
41.5,-114.375,2023,182,35.34
42.0,-119.375,2023,182,39.8
42.0,-118.75,2023,182,34.87
42.0,-118.125,2023,182,34.0
42.0,-117.5,2023,182,33.25
42.0,-116.875,2023,182,35.45
42.0,-116.25,2023,182,38.23
42.0,-115.625,2023,182,38.74
42.0,-115.0,2023,182,37.74
42.0,-114.375,2023,182,35.65
32.5,-119.375,2023,183,96.0
32.5,-118.75,2023,183,95.83
32.5,-118.125,2023,183,93.24
32.5,-117.5,2023,183,89.71
32.5,-116.875,2023,183,55.84
32.5,-116.25,2023,183,21.33
32.5,-115.625,2023,183,13.34
32.5,-115.0,2023,183,17.33
32.5,-114.375,2023,183,23.85
33.0,-119.375,2023,183,94.42
33.0,-118.75,2023,183,94.14
33.0,-118.125,2023,183,89.65
33.0,-117.5,2023,183,80.73
33.0,-116.875,2023,183,48.76
33.0,-116.25,2023,183,22.51
33.0,-115.625,2023,183,19.89
33.0,-115.0,2023,183,18.54
33.0,-114.375,2023,183,17.71
33.5,-119.375,2023,183,95.93
33.5,-118.75,2023,183,93.44
33.5,-118.125,2023,183,82.95
33.5,-117.5,2023,183,63.81
33.5,-116.875,2023,183,35.92
33.5,-116.25,2023,183,18.25
33.5,-115.625,2023,183,17.52
33.5,-115.0,2023,183,15.32
33.5,-114.375,2023,183,14.57
34.0,-119.375,2023,183,89.73
34.0,-118.75,2023,183,78.26
34.0,-118.125,2023,183,53.35
34.0,-117.5,2023,183,37.32
34.0,-116.875,2023,183,24.29
34.0,-116.25,2023,183,15.95
34.0,-115.625,2023,183,13.47
34.0,-115.0,2023,183,12.27
34.0,-114.375,2023,183,12.22
34.5,-119.375,2023,183,36.72
34.5,-118.75,2023,183,40.08
34.5,-118.125,2023,183,34.59
34.5,-117.5,2023,183,25.35
34.5,-116.875,2023,183,20.1
34.5,-116.25,2023,183,14.37
34.5,-115.625,2023,183,12.72
34.5,-115.0,2023,183,11.39
34.5,-114.375,2023,183,10.34
35.0,-119.375,2023,183,29.12
35.0,-118.75,2023,183,23.88
35.0,-118.125,2023,183,25.42
35.0,-117.5,2023,183,20.8
35.0,-116.875,2023,183,17.75
35.0,-116.25,2023,183,14.91
35.0,-115.625,2023,183,12.89
35.0,-115.0,2023,183,10.75
35.0,-114.375,2023,183,9.99
35.5,-119.375,2023,183,28.92
35.5,-118.75,2023,183,30.6
35.5,-118.125,2023,183,21.86
35.5,-117.5,2023,183,13.92
35.5,-116.875,2023,183,14.58
35.5,-116.25,2023,183,12.92
35.5,-115.625,2023,183,11.17
35.5,-115.0,2023,183,11.36
35.5,-114.375,2023,183,10.66
36.0,-119.375,2023,183,27.95
36.0,-118.75,2023,183,28.78
36.0,-118.125,2023,183,27.77
36.0,-117.5,2023,183,14.16
36.0,-116.875,2023,183,10.55
36.0,-116.25,2023,183,10.73
36.0,-115.625,2023,183,10.92
36.0,-115.0,2023,183,10.77
36.0,-114.375,2023,183,12.85
36.5,-119.375,2023,183,21.66
36.5,-118.75,2023,183,33.04
36.5,-118.125,2023,183,32.38
36.5,-117.5,2023,183,15.49
36.5,-116.875,2023,183,9.7
36.5,-116.25,2023,183,10.61
36.5,-115.625,2023,183,12.74
36.5,-115.0,2023,183,13.09
36.5,-114.375,2023,183,12.15
37.0,-119.375,2023,183,27.91
37.0,-118.75,2023,183,39.09
37.0,-118.125,2023,183,33.52
37.0,-117.5,2023,183,17.74
37.0,-116.875,2023,183,11.35
37.0,-116.25,2023,183,11.38
37.0,-115.625,2023,183,12.87
37.0,-115.0,2023,183,13.49
37.0,-114.375,2023,183,13.8
37.5,-119.375,2023,183,45.2
37.5,-118.75,2023,183,44.01
37.5,-118.125,2023,183,29.07
37.5,-117.5,2023,183,19.24
37.5,-116.875,2023,183,14.23
37.5,-116.25,2023,183,12.94
37.5,-115.625,2023,183,14.52
37.5,-115.0,2023,183,16.0
37.5,-114.375,2023,183,21.79
38.0,-119.375,2023,183,50.14
38.0,-118.75,2023,183,37.74
38.0,-118.125,2023,183,25.27
38.0,-117.5,2023,183,19.51
38.0,-116.875,2023,183,17.69
38.0,-116.25,2023,183,14.63
38.0,-115.625,2023,183,19.75
38.0,-115.0,2023,183,19.92
38.0,-114.375,2023,183,24.6
38.5,-119.375,2023,183,36.91
38.5,-118.75,2023,183,31.11
38.5,-118.125,2023,183,24.9
38.5,-117.5,2023,183,22.81
38.5,-116.875,2023,183,21.25
38.5,-116.25,2023,183,19.99
38.5,-115.625,2023,183,23.43
38.5,-115.0,2023,183,24.23
