LAT,LON,YEAR,DOY,PS
32.5,-119.375,2023,182,101.22
32.5,-118.75,2023,182,101.22
32.5,-118.125,2023,182,101.17
32.5,-117.5,2023,182,100.97
32.5,-116.875,2023,182,96.66
32.5,-116.25,2023,182,91.81
32.5,-115.625,2023,182,98.95
32.5,-115.0,2023,182,100.24
32.5,-114.375,2023,182,99.15
33.0,-119.375,2023,182,101.15
33.0,-118.75,2023,182,101.18
33.0,-118.125,2023,182,100.99
33.0,-117.5,2023,182,100.22
33.0,-116.875,2023,182,94.54
33.0,-116.25,2023,182,95.51
33.0,-115.625,2023,182,100.17
33.0,-115.0,2023,182,98.84
33.0,-114.375,2023,182,98.34
33.5,-119.375,2023,182,101.22
33.5,-118.75,2023,182,101.21
33.5,-118.125,2023,182,100.61
33.5,-117.5,2023,182,98.33
33.5,-116.875,2023,182,91.72
33.5,-116.25,2023,182,94.93
33.5,-115.625,2023,182,96.55
33.5,-115.0,2023,182,97.38
33.5,-114.375,2023,182,97.22
34.0,-119.375,2023,182,100.96
34.0,-118.75,2023,182,99.0
34.0,-118.125,2023,182,96.65
34.0,-117.5,2023,182,94.08
34.0,-116.875,2023,182,90.3
34.0,-116.25,2023,182,90.86
34.0,-115.625,2023,182,94.8
34.0,-115.0,2023,182,96.78
34.0,-114.375,2023,182,97.23
34.5,-119.375,2023,182,92.85
34.5,-118.75,2023,182,92.55
34.5,-118.125,2023,182,92.33
34.5,-117.5,2023,182,89.91
34.5,-116.875,2023,182,88.94
34.5,-116.25,2023,182,92.02
34.5,-115.625,2023,182,95.0
34.5,-115.0,2023,182,94.49
34.5,-114.375,2023,182,95.45
35.0,-119.375,2023,182,92.48
35.0,-118.75,2023,182,91.17
35.0,-118.125,2023,182,90.25
35.0,-117.5,2023,182,91.45
35.0,-116.875,2023,182,91.68
35.0,-116.25,2023,182,93.99
35.0,-115.625,2023,182,89.92
35.0,-115.0,2023,182,91.34
35.0,-114.375,2023,182,93.08
35.5,-119.375,2023,182,98.9
35.5,-118.75,2023,182,92.88
35.5,-118.125,2023,182,87.68
35.5,-117.5,2023,182,91.36
35.5,-116.875,2023,182,91.9
35.5,-116.25,2023,182,93.19
35.5,-115.625,2023,182,88.81
35.5,-115.0,2023,182,89.58
35.5,-114.375,2023,182,91.56
36.0,-119.375,2023,182,99.68
36.0,-118.75,2023,182,89.25
36.0,-118.125,2023,182,81.3
36.0,-117.5,2023,182,88.0
36.0,-116.875,2023,182,92.33
36.0,-116.25,2023,182,92.43
36.0,-115.625,2023,182,87.84
36.0,-115.0,2023,182,92.87
36.0,-114.375,2023,182,92.74
36.5,-119.375,2023,182,98.07
36.5,-118.75,2023,182,82.89
36.5,-118.125,2023,182,78.42
36.5,-117.5,2023,182,88.51
36.5,-116.875,2023,182,91.65
36.5,-116.25,2023,182,90.14
36.5,-115.625,2023,182,85.37
36.5,-115.0,2023,182,89.21
36.5,-114.375,2023,182,92.65
37.0,-119.375,2023,182,89.92
37.0,-118.75,2023,182,75.81
37.0,-118.125,2023,182,79.92
37.0,-117.5,2023,182,86.54
